Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
50001;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;;
50002;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;GE;GE-Infinia Hawkeye;;
50003;397.0;1990.0;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;Waregem;West-Vlaanderen;GE;GE-Infinia Hawkeye;;
50004;124.0;1920.0;ST.-JOZEFSKLINIEK;Izegem;West-Vlaanderen;GE;GE-Infinia Hawkeye;;
50005;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Siemens;SIEMENS-Symbia T;;
50006;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50007;49.0;1930.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Oostende;West-Vlaanderen;Siemens;Symbia T;;
50008;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;;
50009;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Luik;Philips;PHILIPS-BrightView-XCT;;
50010;706.0;3340.0;CLINIQUE ST.-LUC;Namen;Namen;GE;GE-Infinia Hawkeye;;
50011;706.0;3340.0;CLINIQUE ST.-LUC;Namen;Namen;GE;GE-Discovery NM/CT 670;;
50014;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gent;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;;
50015;57.0;2700.0;JAN YPERMAN ZIEKENHUIS;Ieper;West-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50016;43.0;1730.0;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Waals Brabant;Siemens;SIEMENS-Symbia T;;
50017;300.0;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Antwerpen;GE;GE-Discovery NM/CT 670 ;;
50018;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Antwerpen;Siemens;SIEMENS-Symbia T;;
