"Numéro
d'appareil";Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hôpitaux en association
60001;536.0;2090.0;ALGEMEEN ZIEKENHUIS ST.-JOZEF;Malle;Anvers;Siemens;SIEMENS MAGNETOM AERA 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60002;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;MAGNETOM AERA 1.5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60003;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre occidentale;Philips;PHILIPS ACHIEVA 3.0T QUASAR DUAL;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60004;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre occidentale;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60005;715.0;3650.0;ST. TRUDO ZIEKENHUIS;Saint-Trond;Limbourg;Siemens;SIEMENS MAGNETOM AVANTO FIT;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60006;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60007;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;GE;GE-Optima 450W;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60008;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60010;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60014;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Liège;Philips;PHILIPS-Achieva 1.5T SE;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60016;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Liège;Liège;Philips;PHILIPS-Achieva 3.0T TX;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60017;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Liège;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60018;57.0;2700.0;JAN YPERMAN ZIEKENHUIS;Ypres;Flandre occidentale;Siemens;MAGNETOM AERA;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60020;300.0;4220.0;"UNIVERSITAIR ZIEKENHUIS
ANTWERPEN";Edegem;Anvers;Siemens;SIEMENS-MAGNETOM Skyra 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60021;300.0;4220.0;"UNIVERSITAIR ZIEKENHUIS
ANTWERPEN";Edegem;Anvers;Siemens;SIEMENS-MAGNETOM AERA TIM, 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60022;300.0;4220.0;"UNIVERSITAIR ZIEKENHUIS
ANTWERPEN";Edegem;Anvers;Siemens;SIEMENS-MAGNETOM Prisma 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60023;111.0;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60024;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;SIEMENS MAGNETOM AERA;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60026;534.0;2830.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Tournai;Hainaut;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60030;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60031;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;HEILIG HART ZIEKENHUIS MOL
60032;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;MAGNETOM AERA;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60036;257.0;2980.0;KLINIK ST.-JOSEF;Saint-Vith;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60039;204.0;1460.0;"ALGEMEEN ZIEKENHUIS JAN
PORTAELS";Vilvorde;Brabant flamand;Siemens;SIEMENS MAGNETOM AREA 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60040;6.0;3300.0;C.H.R. SAMBRE ET MEUSE;Namur;Namur;Philips;PHILIPS-Achieva 3.0T XR TX;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60041;392.0;1030.0;ALGEMEEN ZIEKENHUIS ZENO;Knokke-Heist;Flandre occidentale;Philips;PHILIPS PANORAMA HFO  1.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60042;314.0;1270.0;"ALGEMEEN ZIEKENHUIS HEILIGE
FAMILIE";Rumst;Anvers;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;AZ SINT JOZEF
60043;682.0;1210.0;A.Z. MONICA;Deurne;Anvers;Siemens;SIEMENS-MAGNETOM Amira 1,5T;Uitsluitend klinisch gebruik;AZ MONICA CAMPUS ANTWERPEN
60044;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Verio 3T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60045;264.0;3260.0;CHU UCL NAMUR;Chimay;Hainaut;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;CHR VAL DE SAMBRE, CENTRE DE SANTE DES FAGNES
60046;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60047;310.0;1980.0;AZ WEST;Furnes;Flandre occidentale;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;SINT-REMBERT ZIEKENHUIS TORHOUT
60048;325.0;2750.0;"CENTRE HOSPITALIER
UNIVERSITAIRE A. VESALE";Montigny-le-Tilleul;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60049;718.0;3130.0;C.H.U. CHARLEROI;Lodelinsart;Hainaut;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60051;412.0;3410.0;"CENTRE HOSPITALIER REGIONAL DE
LA CITADELLE";Liège;Liège;Philips;PHILIPS-INTERA 1.5T Explorer;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60052;412.0;3410.0;"CENTRE HOSPITALIER REGIONAL DE
LA CITADELLE";Liège;Liège;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60053;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;Philips;PHILIPS-Achieva 1.5T A-serie;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60055;39.0;3280.0;CHU UCL NAMUR;Yvoir;Namur;Siemens;SIEMENS-MAGNETOM Verio 3T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60056;166.0;3290.0;CHU UCL NAMUR;Namur;Namur;GE;GE-Echospeed HDx 1.5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60057;99.0;1290.0;GZA- ZIEKENHUIZEN;Wilrijk;Anvers;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60059;99.0;2020.0;GZA- ZIEKENHUIZEN;Anvers;Anvers;Philips;PHILIPS-Ingenia 1.5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60060;254.0;2730.0;"C.H.U. ET PSYCHIATRIQUE DE
MONS-BORINAGE";Mons;Hainaut;GE;GE-Echospeed HDx 1.5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60061;716.0;3670.0;ALGEMEEN ZIEKENHUIS VESALIUS;Tongres;Limbourg;Siemens;AERA;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60062;109.0;1370.0;"REGIONAAL ZIEKENHUIS HEILIG HART
TIENEN";Tirlemont;Brabant flamand;SIEMENS;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60063;97.0;1260.0;HEILIG HART ZIEKENHUIS V.Z.W.;Lierre;Anvers;Siemens;MAGNETON AERA 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60064;117.0;1950.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60065;117.0;1950.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Philips;PHILIPS-Achieva 1.5T A-serie;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60066;117.0;1100.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60067;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre orientale;GE;GE-Echospeed HDx 1.5T;Uitsluitend klinisch gebruik;AZ GLORIEUX RONSE
60068;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre orientale;GE;GE-TwinSpeed HDx 3.0T;Uitsluitend klinisch gebruik;AZ GLORIEUX RONSE
60069;176.0;1800.0;"ALGEMEEN STEDELIJK ZIEKENHUIS
A.V.";Alost;Flandre orientale;GE;GE-Discovery MR750 GEM 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60070;164.0;3230.0;VIVALIA - IFAC;Marche-en-Famenne;Luxembourg;Siemens;SIEMENS-MAGNETOM SYMPHONY TIM;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60072;87.0;1540.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Anderlecht;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60074;217.0;1900.0;"ALGEMEEN ZIEKENHUIS ST.
ELISABETH";Zottegem;Flandre orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60075;710.0;3450.0;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Anvers;GE;GE-Optima 450W;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60076;712.0;1320.0;ALGEMEEN ZIEKENHUIS DIEST;Diest;Brabant flamand;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;REGIONAAL ZIEKENHUIS HEILIG HART LEUVEN
60077;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;"Saint-Nicolas (Flandre
orientale)";Flandre orientale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60078;108.0;1360.0;REGIONAAL ZIEKENHUIS HEILIG HART;Louvain;Brabant flamand;Philips;PHILIPS-Ingenia 1.5T;Uitsluitend klinisch gebruik;AZ DIEST
60084;723.0;1470.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Anderlecht;Bruxelles-Capitale;Siemens;AERA;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60085;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Siemens;SIEMENS-MAGNETOM Skyra 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60086;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;PHILIPS-Achieva 1.5T A-serie;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60087;243.0;3570.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60088;43.0;1730.0;CLINIQUE SAINT PIERRE;"Ottignies-Louvain-la
-Neuve";Brabant wallon;Siemens;SIEMENS-AVANTO_FIT;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60090;68.0;2870.0;"CENTRE HOSPITALIER REGIONAL DE
HUY";Huy;Liège;Siemens;AERA;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60092;26.0;1230.0;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Malines;Anvers;Siemens;SIEMENS - MAGNETOM AERA 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60093;266.0;2720.0;CHR MONS - HAINAUT;Boussu;Hainaut;GE;GE-Echospeed HDx 1.5T;Utilisation clinique uniquement;CHAMBORD
60094;525.0;1940.0;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre occidentale;Siemens;MAGNETRON AERA 1.5 TESLA;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60096;707.0;3860.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Liège;Liège;Siemens;SYMPHONY 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60097;707.0;2840.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Chênée;Liège;Siemens;AERA 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60098;707.0;3860.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Liège;Liège;Siemens;AERA 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60101;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Courtrai;Flandre occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60102;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Courtrai;Flandre occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
