MID-ID;Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Ziekenhuizen in associatie
MID-000482;60002;247;2770;CENTRE HOSPITALIER DE MOUSCRON - C.H.R. MOUSCRON;Moeskroen;Henegouwen;Siemens;SIEMENS-MAGNETOM Aera 1,5T;
MID-000483;60004;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE - AZ SINT-JAN BRUGGE;Brugge;West-Vlaanderen;Philips;PHILIPS-Ingenia 3.0T;
MID-000484;60005;715;3650;ST. TRUDO ZIEKENHUIS - ST. TRUDO;Sint-Truiden;Limburg;Siemens;SIEMENS MAGNETOM AVANTO FIT;
MID-000485;60006;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC - ST. LUC BRUXELLES;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-MAGNETOM Skyra 3T;
MID-000486;60007;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC - ST. LUC BRUXELLES;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;GE;GE-Optima 450W;
MID-000487;60008;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC - ST. LUC BRUXELLES;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-Ingenia 3.0T;
MID-000489;60010;670;3850;UNIVERSITAIR ZIEKENHUIS - UZ GENT;Gent;Oost-Vlaanderen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
MID-000493;60023;111;1400;EUROPAZIEKENHUIZEN V.Z.W. - ST. ELISABETH;Ukkel;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-Ingenia 3.0T;
MID-000494;60026;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE - UNION TOURNAI;Doornik;Henegouwen;Siemens;SIEMENS MAGNETOM AERA;
MID-000495;60028;23;2860;CLINIQUE ANDRE RENARD - ANDRE RENARD;Herstal;Luik;Siemens;SIEMENS AERA 1,5T;
MID-000496;60030;110;1310;KLINIEK ST.- JAN - KRUIDTUIN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
MID-000497;60031;709;2690;ZIEKENHUIS GEEL - ZIEKENHUIS GEEL;Geel;Antwerpen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;HEILIG HART ZIEKENHUIS MOL
MID-000499;60036;257;2980;KLINIK ST.-JOSEF - ST. JOSEF;Sankt Vith;Luik;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
MID-000501;60040;6;3300;CHR SAMBRE ET MEUSE (SITE MEUSE) - CHRSM - SITE MEUSE;Namen;Namen;Philips;PHILIPS-Achieva 3.0T XR TX;
MID-000502;60043;682;1210;AZ MONICA - DEURNE;Antwerpen;Antwerpen;Siemens;SIEMENS-MAGNETOM Amira 1,5T;
MID-000504;60045;264;3260;CHU UCL NAMUR - HOPITAL DINANT - CHU UCL NAMUR - SITE ST.VINCENT;Dinant;Namen;Philips;PHILIPS-Achieva 1.5T A-serie;CHR VAL DE SAMBRE - CENTRE DE SANTE DES FAGNES
MID-000509;60052;412;3410;HOPITAL DE LA CITADELLE - CITADELLE;Luik;Luik;Philips;PHILIPS-Achieva 1.5T A-serie;
MID-000513;60062;109;1370;RZ HEILIG HART TIENEN - MARIENDAL;Tienen;Vlaams Brabant;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
MID-000514;60063;97;1260;HEILIG HART ZIEKENHUIS - HEILIG HART;Lier;Antwerpen;Siemens;SIEMENS-MAGNETOM Aera 1,5T;
MID-000515;60066;117;1100;AZ DELTA - AZ DELTA BRUGSESTEENWEG;Roeselare;West-Vlaanderen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
MID-000516;60067;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS - OLV ZIEKENHUIS AALST;Aalst;Oost-Vlaanderen;GE;GE-Echospeed HDx 1.5T;AZ GLORIEUX RONSE
MID-000517;60068;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS - OLV ZIEKENHUIS AALST;Aalst;Oost-Vlaanderen;GE;GE-TwinSpeed HDx 3.0T;AZ GLORIEUX RONSE
MID-000518;60069;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING - ASZ AALST;Aalst;Oost-Vlaanderen;GE;GE-Discovery MR750 GEM 3.0T;
