Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Ziekenhuizen in associatie
50001;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;SINT-LAMBRECHTS-WOLUWE;Brussels Hoofdst. Gew.;Philips;PHILIPS-BrightView-XCT;
50002;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;SINT-LAMBRECHTS-WOLUWE;Brussels Hoofdst. Gew.;GE;GE-Infinia Hawkeye;
50003;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;WAREGEM;West-Vlaanderen;GE;GE-Infinia Hawkeye;
50004;124;1920;SINT-JOZEFSKLINIEK;IZEGEM;West-Vlaanderen;GE;GE-Infinia Hawkeye;
50005;247;2770;CENTRE HOSPITALIER DE MOUSCRON;MOUSCRON;Henegouwen;Siemens;SIEMENS-Symbia T;
50006;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGGE;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
50008;670;3850;UNIVERSITAIR ZIEKENHUIS;GENT;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;
50009;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY;VERVIERS;Luik;Philips;PHILIPS-BrightView-XCT;
50010;706;3340;CLINIQUE ST.-LUC;NAMEN;Namen;GE;GE-Infinia Hawkeye;
50011;706;3340;CLINIQUE ST.-LUC;NAMEN;Namen;GE;GE-Discovery NM/CT 670;
50014;713;1610;AZ JAN PALFIJN;GENT;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;
50015;57;2700;JAN YPERMAN ZIEKENHUIS;IEPER;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
50016;43;1730;CLINIQUE SAINT PIERRE;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals Brabant;Siemens;SIEMENS-Symbia T;
50017;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Antwerpen;GE;GE-Discovery NM/CT 670 ;
50018;689;2040;IMELDA ZIEKENHUIS;BONHEIDEN;Antwerpen;Siemens;SIEMENS-Symbia T;
50019;110;1310;KLINIEK ST.- JAN;BRUSSEL;Brussels Hoofdst. Gew.;GE;GE-Infinia Hawkeye;
50021;110;1310;KLINIEK ST.- JAN;BRUSSEL;Brussels Hoofdst. Gew.;GE;GE-Optima NM/CT 640;
50022;23;2860;CLINIQUE ANDRE RENARD;HERSTAL;Luik;GE;GE-Discovery NM/CT 670 Pro;
50023;371;3560;ZIEKENHUIS OOST-LIMBURG;GENK;Limburg;Siemens;SIEMENS-Symbia T;
50024;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Henegouwen;GE;GE-Infinia Hawkeye;
50025;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;
50026;102;2080;HEILIG HART ZIEKENHUIS;MOL;Antwerpen;Siemens;SIEMENS-Symbia Intevo ;
50027;709;2690;ZIEKENHUIS GEEL;GEEL;Antwerpen;GE;GE-Infinia Hawkeye;
50028;709;2690;ZIEKENHUIS GEEL;GEEL;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
50029;63;1280;AZ TURNHOUT;TURNHOUT;Antwerpen;Siemens;SIEMENS-Symbia T;
50030;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;DOORNIK;Henegouwen;GE;GE-Infinia Hawkeye;
50031;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE;DOORNIK;Henegouwen;GE;GE-Infinia Hawkeye;
50033;714;3600;SINT-FRANCISCUS ZIEKENHUIS;HEUSDEN-ZOLDER;Limburg;Philips;PHILIPS-BrightView-XCT;
50034;550;1680;A.Z. GLORIEUX;RONSE;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;
50035;63;1280;AZ TURNHOUT;TURNHOUT;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
50036;308;1250;AZ HERENTALS;HERENTALS;Antwerpen;GE;GE-Discovery NM/CT 670 ;
50037;395;1170;ST.-ANDRIESZIEKENHUIS;TIELT;West-Vlaanderen;GE;GE-Discovery NM/CT 670 ;
50039;204;1460;ALGEMEEN ZIEKENHUIS JAN PORTAELS;VILVOORDE;Vlaams Brabant;GE;GE-Discovery NM/CT 670 ;
50040;682;1210;AZ MONICA;ANTWERPEN;Antwerpen;GE;GE-Infinia Hawkeye;
50041;249;3160;CENTRE DE SANTE DES FAGNES;CHIMAY;Henegouwen;Philips;PHILIPS-BrightView-XCT;
50042;170;1660;AZ OUDENAARDE;OUDENAARDE;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
50043;103;3310;CHR SAMBRE ET MEUSE (SITE SAMBRE);SAMBREVILLE;Namen;Siemens;SIEMENS-Symbia Intevo ;
50045;79;1510;INSTITUT JULES BORDET;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-Symbia T;
50046;310;1980;AZ WEST;VEURNE;West-Vlaanderen;GE;GE-Infinia Hawkeye;
50047;718;3130;CHU CHARLEROI - HOPITAL CIVIL MARIE CURIE;CHARLEROI;Henegouwen;GE;GE-Optima NM/CT 640;
50048;719;3615;NOORDERHART - MARIAZIEKENHUIS;OVERPELT;Limburg;Philips;PHILIPS-BrightView-XCT;
50050;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;LIBRAMONT-CHEVIGNY;Luxemburg;GE;GE-Infinia Hawkeye;
50051;166;3290;CHU UCL NAMUR - SITE STE. ELISABETH NAMUR;NAMEN;Namen;Siemens;SIEMENS-Symbia T;
50052;99;1290;GZA- ZIEKENHUIZEN;ANTWERPEN;Antwerpen;Philips;PHILIPS-BrightView-XCT;
50058;97;1260;ALGEMEEN ZIEKENHUIS HEILIG HART;LIER;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
50059;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;LUIK;Luik;GE;GE-Discovery NM/CT 670 ;
50060;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;AALST;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
50061;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;LEUVEN;Vlaams Brabant;Siemens;SIEMENS-Symbia Intevo ;
50062;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;AALST;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
