Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Bruxelles-Capitale;Fabricant;Modèle;Hopitaux en association
60001;536;2090;AZ VOORKEMPEN;MALLE;Anvers;Siemens;SIEMENS MAGNETOM AERA 1,5T;
60002;247;2770;CENTRE HOSPITALIER DE MOUSCRON;MOUSCRON;Hainaut;Siemens;MAGNETOM AERA 1.5T;
60004;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGES;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;
60005;715;3650;ST. TRUDO ZIEKENHUIS;SINT-TRUIDEN;Limbourg;Siemens;SIEMENS MAGNETOM AVANTO FIT;
60006;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;WOLUWE-SAINT-LAMBERT;Région Bruxelles Cap.;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60007;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;WOLUWE-SAINT-LAMBERT;Région Bruxelles Cap.;GE;GE-Optima 450W;
60008;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;WOLUWE-SAINT-LAMBERT;Région Bruxelles Cap.;Philips;PHILIPS-Ingenia 3.0T;
60010;670;3850;UNIVERSITAIR ZIEKENHUIS;GAND;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60021;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Anvers;Siemens;SIEMENS-MAGNETOM AERA TIM, 1,5T;
60022;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Anvers;Siemens;SIEMENS-MAGNETOM Prisma 3T;
60023;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;UCCLE;Région Bruxelles Cap.;Philips;PHILIPS-Ingenia 3.0T;
60026;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;TOURNAI;Hainaut;Siemens;SIEMENS MAGNETOM AERA;
60028;23;2860;CLINIQUE ANDRE RENARD;HERSTAL;Liège;Siemens;SIEMENS AERA 1,5T;
