Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Ziekenhuizen in associatie
60001;536;2090;AZ VOORKEMPEN;MALLE;Antwerpen;Siemens;SIEMENS MAGNETOM AERA 1,5T;
60002;247;2770;CENTRE HOSPITALIER DE MOUSCRON;MOESKROEN;Henegouwen;Siemens;MAGNETOM AERA 1.5T;
60004;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGGE;West-Vlaanderen;Philips;PHILIPS-Ingenia 3.0T;
60005;715;3650;ST. TRUDO ZIEKENHUIS;SINT-TRUIDEN;Limburg;Siemens;SIEMENS MAGNETOM AVANTO FIT;
60006;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;SINT-LAMBRECHTS-WOLUWE;Brussels Hoofdst. Gew.;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60007;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;SINT-LAMBRECHTS-WOLUWE;Brussels Hoofdst. Gew.;GE;GE-Optima 450W;
60008;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;SINT-LAMBRECHTS-WOLUWE;Brussels Hoofdst. Gew.;Philips;PHILIPS-Ingenia 3.0T;
60010;670;3850;UNIVERSITAIR ZIEKENHUIS;GENT;Oost-Vlaanderen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60021;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Antwerpen;Siemens;SIEMENS-MAGNETOM AERA TIM, 1,5T;
60022;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Antwerpen;Siemens;SIEMENS-MAGNETOM Prisma 3T;
60023;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;UKKEL;Brussels Hoofdst. Gew.;Philips;PHILIPS-Ingenia 3.0T;
60026;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;DOORNIK;Henegouwen;Siemens;SIEMENS MAGNETOM AERA;
60028;23;2860;CLINIQUE ANDRE RENARD;HERSTAL;Luik;Siemens;SIEMENS AERA 1,5T;
60030;110;1310;KLINIEK ST.- JAN;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60031;709;2690;ZIEKENHUIS GEEL;GEEL;Antwerpen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;HEILIG HART ZIEKENHUIS MOL
60036;257;2980;KLINIK ST.-JOSEF;SANKT VITH;Luik;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60039;204;1460;ALGEMEEN ZIEKENHUIS JAN PORTAELS;VILVOORDE;Vlaams Brabant;Siemens;SIEMENS MAGNETOM AREA 1,5T;
60040;6;3300;CHR SAMBRE ET MEUSE (SITE MEUSE);NAMEN;Namen;Philips;PHILIPS-Achieva 3.0T XR TX;
