Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
60001;536.0;2090.0;ALGEMEEN ZIEKENHUIS ST.-JOZEF;Malle;Anvers;Siemens;SIEMENS MAGNETOM AERA 1,5T;Utilisation clinique uniquement;
60002;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;MAGNETOM AERA 1.5T;Utilisation clinique uniquement;
60004;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60005;715.0;3650.0;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limbourg;Siemens;SIEMENS MAGNETOM AVANTO FIT;Utilisation clinique uniquement;
60006;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60007;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;GE;GE-Optima 450W;Utilisation clinique uniquement;
60008;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60010;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60014;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Liège;Philips;PHILIPS-Achieva 1.5T SE;Utilisation clinique uniquement;
60016;152.0;2910.0;CENTRE HOSPITALIER CHRETIEN - ST. JOSEPH;Liège;Liège;Philips;PHILIPS-Achieva 3.0T TX;Utilisation clinique uniquement;
60017;152.0;2910.0;CENTRE HOSPITALIER CHRETIEN - ST. JOSEPH;Liège;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60020;300.0;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60021;300.0;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;Siemens;SIEMENS-MAGNETOM AERA TIM, 1,5T;Utilisation clinique uniquement;
60022;300.0;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;Siemens;SIEMENS-MAGNETOM Prisma 3T;Utilisation clinique uniquement;
60023;111.0;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60024;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;
60026;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;
60030;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60031;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;HEILIG HART ZIEKENHUIS MOL
