Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
10002;714;3600;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limbourg;Siemens;SIEMENS-SOMATOM Definition Flash;;
10003;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;Waregem;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10007;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Toshiba;TOSHIBA-Aquilion LB;;
10008;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;GE;GE-Discovery CT750 HD;;
10009;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;GE;GE-Revolution CT;;
10010;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;Philips;PHILIPS-Brilliance Big Bore;;
10011;49;1930;A.Z. ST. JAN BRUGGE - OOSTENDE;Ostende;Flandre Occidentale;GE;GE-Discovery CT750 HD;;
10013;715;3650;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limbourg;Siemens;SIEMENS-SOMATOM Definition Edge;;
10014;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10015;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Philips;PHILIPS-Brilliance;;
10017;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Philips;PHILIPS-Brilliance;;
10018;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Toshiba;TOSHIBA-Aquilion LB;;
10019;670;3850;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Edge;;
10020;670;3850;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10021;670;3850;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;SIEMES-SOMATOM Definition AS;;
10024;158;2970;GROUPE SANTE CHC;Verviers;Liège;GE;GE-Brightspeed Elite;;
10026;706;3340;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-Discovery CT750 HD;;
10027;706;3340;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-LightSpeed VCT;;
10032;152;2930;GROUPE SANTE CHC;Waremme;Liège;GE;GE-Brightspeed Elite;;
10034;57;2700;JAN YPERMAN ZIEKENHUIS;Ypres;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10044;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;SIEMENS-SOMATOM Definition AS+;;
10045;76;1520;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10046;76;1520;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Definition AS+;;
10047;76;1500;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10048;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10049;534;3090;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10050;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10051;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens;SIEMENS-SOMATOM Definition Flash;;
10052;15;2850;HOSPITAL ST.-NIKOLAUS;Eupen;Liège;GE;GE-Optima CT660;;
10054;23;2860;CLINIQUE ANDRE RENARD;Herstal;Liège;GE;GE-Optima CT660;;
10057;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Mobius;BRAINLAB AIRO;;
10058;102;2080;HEILIG HARTZIEKENHUIS V.Z.W.;Mol;Anvers;Toshiba;TOSHIBA-Aquilion Prime;;
10059;110;1310;KLINIEK ST.- JAN;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10060;110;1310;KLINIEK ST.- JAN;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10061;110;1480;KLINIEK ST.- JAN;Saint-Josse-Ten-Noode;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Emotion;;
10064;709;2690;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;TOSHIBA;TOSHIBA-Aquilion 64 CXL;;
10065;709;2690;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;TOSHIBA;TOSHIBA-Aquilion ONE;;
10067;63;2100;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;Siemens;SIEMENS-SOMATOM Definition Flash;;
10069;63;1280;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;Siemens;SIEMENS-SOMATOM Definition AS+;;
10070;550;1680;A.Z. GLORIEUX;Ronse;Flandre Orientale;GE;GE-Optima CT660;;
10071;308;1250;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Anvers;GE;GE-Discovery CT750 HD;;
10082;682;1220;A.Z. MONICA;Anvers;Anvers;Siemens;SIEMENS-SOMATOM Perspective;;
10083;682;1210;A.Z. MONICA;Anvers;Anvers;Siemens;SIEMENS-SOMATOM Definition AS+;;
10085;103;3310;C.H.R. SAMBRE ET MEUSE;Sambreville;Namur;Toshiba;TOSHIBA-Aquilion ONE;;
10086;103;3310;C.H.R. SAMBRE ET MEUSE;Sambreville;Namur;Toshiba;TOSHIBA-Astelion advance;;
10087;79;1510;INSTITUT JULES BORDET;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10088;79;1510;INSTITUT JULES BORDET;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10089;79;1510;INSTITUT JULES BORDET;Bruxelles;Région de Bruxelles-Capitale;Toshiba;TOSHIBA-Aquilion LB;;
10090;310;1980;AZ WEST;Veurne;Flandre Occidentale;GE;GE-Optima CT660;;
10092;716;3670;ALGEMEEN ZIEKENHUIS VESALIUS;Bilzen;Limbourg;GE;GE-Optima CT540;;
10093;325;2750;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10094;325;2750;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10095;718;3130;C.H.U. CHARLEROI;Charleroi;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10096;718;3130;C.H.U. CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-SOMATOM Definition Flash;;
10097;718;3130;C.H.U. CHARLEROI;Châtelet;Hainaut;Siemens;SIEMENS-SOMATOM Sensation;;
10098;718;3130;C.H.U. CHARLEROI;Charleroi;Hainaut;Mobius Imaging;Scanner Mobile Airo;;
10099;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Siemens;SIEMENS-SOMATOM Perspective;;
10101;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Siemens;SIEMES-SOMATOM Definition AS;;
10103;412;2321;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Siemens;SIEMENS-SOMATOM Emotion;;ISOSL - VALDOR
10104;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Siemens;SIEMENS-SOMATOM Perspective;;
10105;412;3430;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Herstal;Liège;Siemens;SIEMENS-SOMATOM Emotion;;
10106;719;3615;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;GE;GE-Discovery CT750 HD;;
10108;39;3280;CHU UCL NAMUR;Yvoir;Namur;Philips;PHILIPS-Ingenuity Core;;
10109;39;3280;CHU UCL NAMUR;Yvoir;Namur;Philips;PHILIPS-Brilliance;;
10112;166;3290;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namur;Namur;GE;GE-LightSpeed VCT;;
10113;166;3290;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namur;Namur;GE;GE-Discovery CT750 HD;;
10114;166;3290;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namur;Namur;GE;LIGHTSPEED RT16;;
10118;99;1290;GZA- ZIEKENHUIZEN;Anvers;Anvers;Philips;PHILIPS-Brilliance Big Bore;;
10122;254;2730;C.H.U. AMBROISE PARE;Mons;Hainaut;Toshiba;TOSHIBA-Aquilion 64;;
10123;254;2730;C.H.U. AMBROISE PARE;Mons;Hainaut;Toshiba;TOSHIBA-Aquilion ONE;;
10124;109;1370;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Tienen;Brabant Flamand;Philips;PHILIPS-Brilliance;;
10126;97;1260;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Anvers;Siemens;SIEMENS-SOMATOM Definition AS+;;
10127;97;1260;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Anvers;Siemens;SIEMENS-SOMATOM Emotion;;
10131;117;1960;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;GE;GE-Optima CT660;;
10132;12;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Flandre Orientale;Philips;PHILIPS-MX 16;;
10133;12;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Flandre Orientale;Philips;PHILIPS-Brilliance;;
10134;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10136;126;1300;ONZE LIEVE VROUW ZIEKENHUIS;Asse;Brabant flamand;Toshiba;TOSHIBA-Aquilion 32;;
10137;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;Philips;PHILIPS-Brilliance Big Bore;;
10138;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Brabant Flamand;Toshiba;TOSHIBA-Aquilion ONE;;
10139;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Alost;Flandre Orientale;GE;GE-Discovery CT750 HD;;
10142;176;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Grammont;Flandre orientale;GE;GE-LightSpeed VCT;;
10143;164;3230;VIVALIA - IFAC;Marche-En-Famenne;Luxembourg;Siemens;SIEMENS-SOMATOM DEFINITION 64;;
10144;409;3350;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Hainaut;Toshiba;TOSHIBA-Aquilion RXL;;
10145;409;3350;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Hainaut;Toshiba;TOSHIBA-Aquilion Prime;;
10146;164;3720;VIVALIA - IFAC;Vielsalm;Luxembourg;Siemens;SIEMENS-SOMATOM Emotion;;
10151;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Flandre Orientale;GE;GE-Discovery CT750 HD;;
10153;595;1860;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Flandre Orientale;GE;GE-Optima CT660;;
10154;595;1870;ALGEMEEN ZIEKENHUIS NIKOLAAS;Beveren-Waas;Flandre orientale;GE;GE-Brightspeed Elite;;
10156;710;3450;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Anvers;GE;GE-Revolution CT;;
10157;712;1320;ALGEMEEN ZIEKENHUIS DIEST;Diest;Brabant Flamand;Siemens;SIEMES-SOMATOM Definition AS;;
