MID-ID;Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
MID-000290;30002;670;3850;UNIVERSITAIR ZIEKENHUIS - UZ GENT;Gent;Oost-Vlaanderen;Siemens;Siemens-Biograph mCT Flow;Uitsluitend klinisch gebruik;
MID-000293;30010;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL - U.Z. BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Siemens;Siemens-Biograph mCT 20 Excel;Uitsluitend klinisch gebruik;
MID-000294;30011;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL - U.Z. BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Siemens;Siemens-Biograph mCT Flow;Wetenschappelijk en klinisch gebruik;
MID-000295;30012;111;1400;EUROPAZIEKENHUIZEN V.Z.W. - ST. ELISABETH;Ukkel;Brussels Hoofdstedelijk Gewest;Philips;Philips-Gemini TF Big Bore PET/CT;Uitsluitend klinisch gebruik;CHIREC/ST. JEAN
MID-000296;30013;6;3300;CHR SAMBRE ET MEUSE (SITE MEUSE) - CHRSM - SITE MEUSE;Namen;Namen;Siemens;Siemens-Biograph mCT;Uitsluitend klinisch gebruik;CHR VAL DE SAMBRE
MID-000297;30017;322;4230;UZ LEUVEN - GASTHUISBERG;Leuven;Vlaams Brabant;Siemens;Siemens-Biograph TruePoint;Wetenschappelijk en klinisch gebruik;
MID-000298;30019;39;3280;CHU-UCL NAMUR - SITE GODINNE - GODINNE;Yvoir;Namen;Philips;Philips-Gemini TF PET/CT;Wetenschappelijk en klinisch gebruik;CLINIQUE ET MATERNITE SAINTE-ELISABETH
MID-000301;30024;110;1310;KLINIEK ST.- JAN - KRUIDTUIN;Brussel;Brussels Hoofdstedelijk Gewest;GE;GE-Discovery IQ;Uitsluitend klinisch gebruik;CLINIQUE DE L EUROPE- CHIREC
MID-000302;30025;396;1090;AZ GROENINGE - KENNEDYLAAN;Kortrijk;West-Vlaanderen;GE;GE-Discovery PET/CT 690 Elite;Uitsluitend klinisch gebruik;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE ALGEMEEN ZIEKENHUIS DELTA
MID-000303;30026;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME - ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;Philips;Gemini tf64 T;Wetenschappelijk en klinisch gebruik;
MID-000304;30027;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE - AZ SINT-JAN BRUGGE;Brugge;West-Vlaanderen;GE;GE-Discovery MI;Uitsluitend klinisch gebruik;A.Z. GROENINGE VZW, KORTRIJK.A.Z. DELTA VZW, ROESELAERE
MID-000305;30028;371;3560;ZIEKENHUIS OOST-LIMBURG - SINT-JAN GENK;Genk;Limburg;Siemens;Biograph Horizon;Uitsluitend klinisch gebruik;VZW JESSA.ZIEKENHUIS OOST-LIMBURG AV.AZ VESALIUS AV.VZW MARIAZIEKENHUIS NOORD-LIMBURG.VZW ZIEKENHUIS MAAS EN KEMPEN.VZW REGIONAAL ZIEKENHUIS SINT-TRUDO.VZW SINT-FRANCISKUSZIEKENHUIS.UNIVERSITAIRE ZIEKENHUIZEN K.U. LEUVEN
MID-000306;30029;670;3850;UNIVERSITAIR ZIEKENHUIS - UZ GENT;Gent;Oost-Vlaanderen;GE;GE-Discovery MI;Wetenschappelijk en klinisch gebruik;
