Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
30002;670;3850.0;UNIVERSITAIR ZIEKENHUIS;GAND;Flandre Orientale;Siemens;Siemens-Biograph mCT Flow;Utilisation clinique uniquement;
30007;707;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LIEGE;Liège;Philips;Philips-Gemini TF PET/CT;Utilisation clinique uniquement;
30008;707;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LIEGE;Liège;Philips;Philips-Gemini TF Big Bore PET/CT;Utilisation clinique et scientifique;
30010;143;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Région Bruxelles Cap.;Siemens;Siemens-Biograph mCT 20 Excel;Utilisation clinique uniquement;
30011;143;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Région Bruxelles Cap.;Siemens;Siemens-Biograph mCT Flow;Utilisation clinique et scientifique;
30012;111;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;UCCLE;Région Bruxelles Cap.;Philips;Philips-Gemini TF Big Bore PET/CT;Utilisation clinique uniquement;CHIREC/ST. JEAN
30013;6;3300.0;CHR SAMBRE ET MEUSE (SITE MEUSE);NAMUR;Namur;Siemens;Siemens-Biograph mCT;Utilisation clinique uniquement;CHR VAL DE SAMBRE
30017;322;4230.0;UZ LEUVEN;LOUVAIN;Brabant Flamand;Siemens;Siemens-Biograph TruePoint;Utilisation clinique et scientifique;
30019;39;3280.0;CHU-UCL NAMUR - SITE GODINNE;YVOIR;Namur;Philips;Philips-Gemini TF PET/CT;Utilisation clinique et scientifique;CLINIQUE ET MATERNITE SAINTE-ELISABETH
30020;10;;ASSOCIATION INTERHOSPITALIERE DE LA REGION DE CHARLEROI ASBL;CHARLEROI;Hainaut;GE;GE-Discovery PET/CT 690;Utilisation clinique uniquement;CHU DE CHARLEROI - CHU ANDRE VESALE - GRAND HOPITAL DE CHARLEROI - CLINIQUE NOTRE-DAME DE GRACE
30021;79;1510.0;INSTITUT JULES BORDET;BRUXELLES;Région Bruxelles Cap.;GE;GE-Discovery PET/CT 690;Utilisation clinique uniquement;CHU BRUGMANN-CHU ST PIERRE-HOPITAUX IRIS SUD
30024;110;1310.0;KLINIEK ST.- JAN;BRUXELLES;Région Bruxelles Cap.;GE;GE-Discovery IQ;Utilisation clinique uniquement;CLINIQUE DE L EUROPE- CHIREC
30025;396;1090.0;AZ GROENINGE;KORTRIJK;Flandre Occidentale;GE;GE-Discovery PET/CT 690 Elite;Utilisation clinique uniquement;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE ALGEMEEN ZIEKENHUIS DELTA
30026;406;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Région Bruxelles Cap.;Philips;Gemini tf64 T;Utilisation clinique et scientifique;
30027;49;1010.0;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGES;Flandre Occidentale;GE;GE DISCOVERY MI;Utilisation clinique uniquement;"A.Z. GROENINGE VZW, KORTRIJK
A.Z. DELTA VZW, ROESELAERE"
30028;371;3560.0;ZIEKENHUIS OOST-LIMBURG;GENK;Limbourg;Siemens;Biograph Horizon;Utilisation clinique uniquement;VZW JESSA/ZIEKENHUIS OOST-LIMBURG AV/ AZ VESALIUS AV/VZW MARIAZIEKENHUIS NOORD-LIMBURG/VZW ZIEKENHUIS MAAS EN KEMPEN/VZW REGIONAAL ZIEKENHUIS SINT-TRUDO/VZW SINT-FRANCISKUSZIEKENHUIS/UNIVERSITAIRE ZIEKENHUIZEN K.U. LEUVEN
