Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
10002;714;3600;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limburg;Siemens;SIEMENS-SOMATOM Definition Flash;;
10003;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;Waregem;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10007;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Toshiba;TOSHIBA-Aquilion LB;;
10008;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;GE;GE-Discovery CT750 HD;;
10009;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;GE;GE-Revolution CT;;
10010;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;Philips;PHILIPS-Brilliance Big Bore;;
10011;49;1930;A.Z. ST. JAN BRUGGE - OOSTENDE;Oostende;West-Vlaanderen;GE;GE-Discovery CT750 HD;;
10013;715;3650;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limburg;Siemens;SIEMENS-SOMATOM Definition Edge;;
10014;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10015;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-Brilliance;;
10017;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-Brilliance;;
10018;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Toshiba;TOSHIBA-Aquilion LB;;
10019;670;3850;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Edge;;
10020;670;3850;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10021;670;3850;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Siemens;SIEMES-SOMATOM Definition AS;;
10024;158;2970;GROUPE SANTE CHC;Verviers;Luik;GE;GE-Brightspeed Elite;;
10026;706;3340;CLINIQUE ST.-LUC;Namen;Namen;GE;GE-Discovery CT750 HD;;
10027;706;3340;CLINIQUE ST.-LUC;Namen;Namen;GE;GE-LightSpeed VCT;;
10032;152;2930;GROUPE SANTE CHC;Borgworm;Luik;GE;GE-Brightspeed Elite;;
10034;57;2700;JAN YPERMAN ZIEKENHUIS;Ieper;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10044;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limburg;Siemens;SIEMENS-SOMATOM Definition AS+;;
10045;76;1520;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10046;76;1520;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Definition AS+;;
10047;76;1500;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10048;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;Siemens;SIEMES-SOMATOM Definition AS;;
10049;534;3090;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;Siemens;SIEMES-SOMATOM Definition AS;;
10050;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;Siemens;SIEMES-SOMATOM Definition AS;;
10051;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10052;15;2850;HOSPITAL ST.-NIKOLAUS;Eupen;Luik;GE;GE-Optima CT660;;
10054;23;2860;CLINIQUE ANDRE RENARD;Herstal;Luik;GE;GE-Optima CT660;;
10057;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limburg;Mobius;BRAINLAB AIRO;;
10058;102;2080;HEILIG HARTZIEKENHUIS V.Z.W.;Mol;Antwerpen;Toshiba;TOSHIBA-Aquilion Prime;;
10059;110;1310;KLINIEK ST.- JAN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Force;;
10060;110;1310;KLINIEK ST.- JAN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10061;110;1480;KLINIEK ST.- JAN;Saint-Josse-Ten-Noode;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Emotion;;
10064;709;2690;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Antwerpen;TOSHIBA;TOSHIBA-Aquilion 64 CXL;;
10065;709;2690;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Antwerpen;TOSHIBA;TOSHIBA-Aquilion ONE;;
10067;63;2100;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10069;63;1280;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10070;550;1680;A.Z. GLORIEUX;Ronse;Oost-Vlaanderen;GE;GE-Optima CT660;;
10071;308;1250;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Antwerpen;GE;GE-Discovery CT750 HD;;
10082;682;1220;A.Z. MONICA;Antwerpen;Antwerpen;Siemens;SIEMENS-SOMATOM Perspective;;
10083;682;1210;A.Z. MONICA;Antwerpen;Antwerpen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10085;103;3310;C.H.R. SAMBRE ET MEUSE;Sambreville;Namen;Toshiba;TOSHIBA-Aquilion ONE;;
10086;103;3310;C.H.R. SAMBRE ET MEUSE;Sambreville;Namen;Toshiba;TOSHIBA-Astelion advance;;
10087;79;1510;INSTITUT JULES BORDET;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Force;;
10088;79;1510;INSTITUT JULES BORDET;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10089;79;1510;INSTITUT JULES BORDET;Brussel;Brussels Hoofdstedelijk Gewest;Toshiba;TOSHIBA-Aquilion LB;;
10090;310;1980;AZ WEST;Veurne;West-Vlaanderen;GE;GE-Optima CT660;;
10092;716;3670;ALGEMEEN ZIEKENHUIS VESALIUS;Bilzen;Limburg;GE;GE-Optima CT540;;
10093;325;2750;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Henegouwen;Siemens;SIEMES-SOMATOM Definition AS;;
10094;325;2750;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Henegouwen;Siemens;SIEMES-SOMATOM Definition AS;;
10095;718;3130;C.H.U. CHARLEROI;Charleroi;Henegouwen;Siemens;SIEMES-SOMATOM Definition AS;;
10096;718;3130;C.H.U. CHARLEROI;Charleroi;Henegouwen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10097;718;3130;C.H.U. CHARLEROI;Châtelet;Henegouwen;Siemens;SIEMENS-SOMATOM Sensation;;
10098;718;3130;C.H.U. CHARLEROI;Charleroi;Henegouwen;Mobius Imaging;Scanner Mobile Airo;;
10099;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;Siemens;SIEMENS-SOMATOM Perspective;;
10101;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;Siemens;SIEMES-SOMATOM Definition AS;;
10103;412;2321;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;Siemens;SIEMENS-SOMATOM Emotion;;ISOSL - VALDOR
