"Numéro
d'appareil";Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Hôpitaux en association
50001;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50002;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50003;397.0;1990.0;"O.L.V. VAN LOURDES ZIEKENHUIS
WAREGEM";Waregem;Flandre occidentale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50004;124.0;1920.0;ST.-JOZEFSKLINIEK;Izegem;Flandre occidentale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50005;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50006;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre occidentale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50007;49.0;1930.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Ostende;Flandre occidentale;Siemens;Symbia T;Il n'existe pas d'association pour cet appareil
50008;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre orientale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50009;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Liège;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50010;706.0;3340.0;CLINIQUE ST.-LUC;Bouge;Namur;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50011;706.0;3340.0;CLINIQUE ST.-LUC;Bouge;Namur;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50012;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Liège;Liège;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50013;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Liège;Liège;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50014;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre orientale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50015;57.0;2700.0;JAN YPERMAN ZIEKENHUIS;Ypres;Flandre occidentale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50016;43.0;1730.0;CLINIQUE SAINT PIERRE;"Ottignies-Louvain-la
-Neuve";Brabant wallon;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50017;300.0;4220.0;"UNIVERSITAIR ZIEKENHUIS
ANTWERPEN";Edegem;Anvers;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50018;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50019;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50021;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;GE;GE-Optima NM/CT 640;Il n'existe pas d'association pour cet appareil
50022;23.0;2860.0;CLINIQUE ANDRE RENARD;Herstal;Liège;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50023;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50024;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Hainaut;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50025;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Hainaut;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50026;102.0;2080.0;HEILIG HARTZIEKENHUIS V.Z.W.;Mol;Anvers;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50027;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50028;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50029;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50030;534.0;2830.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Tournai;Hainaut;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50031;534.0;2810.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Tournai;Hainaut;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50032;534.0;2810.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Tournai;Hainaut;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50033;714.0;3600.0;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limbourg;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50034;550.0;1680.0;A.Z. GLORIEUX;Renaix;Flandre orientale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50035;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50036;308.0;1250.0;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Anvers;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50037;395.0;1170.0;ST.-ANDRIESZIEKENHUIS;Tielt;Flandre occidentale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50039;204.0;1460.0;"ALGEMEEN ZIEKENHUIS JAN
PORTAELS";Vilvorde;Brabant flamand;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50040;682.0;1210.0;A.Z. MONICA;Deurne;Anvers;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50041;249.0;3160.0;CENTRE DE SANTE DES FAGNES;Chimay;Hainaut;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50042;170.0;1660.0;"ALGEMEEN ZIEKENHUIS
OUDENAARDE Vzw";Audenarde;Flandre orientale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50043;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namur;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50044;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namur;Philips;PRECEDENCE;Il n'existe pas d'association pour cet appareil
50045;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50046;310.0;1980.0;AZ WEST;Furnes;Flandre occidentale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50047;718.0;3130.0;C.H.U. CHARLEROI;Lodelinsart;Hainaut;GE;GE-Optima NM/CT 640;Il n'existe pas d'association pour cet appareil
50048;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50050;168.0;3240.0;"VIVALIA - CENTRE HOSPITALIER DE
L'ARDENNE";Libramont-Chevigny;Luxembourg;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50051;166.0;3290.0;CHU UCL NAMUR;Namur;Namur;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50052;99.0;1290.0;GZA- ZIEKENHUIZEN;Wilrijk;Anvers;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50053;99.0;2020.0;GZA- ZIEKENHUIZEN;Anvers;Anvers;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50054;99.0;2030.0;GZA- ZIEKENHUIZEN;Mortsel;Anvers;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50055;117.0;1950.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50056;117.0;1100.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50057;117.0;1100.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50058;97.0;1260.0;HEILIG HART ZIEKENHUIS V.Z.W.;Lierre;Anvers;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50059;412.0;3410.0;"CENTRE HOSPITALIER REGIONAL DE
LA CITADELLE";Liège;Liège;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50060;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre orientale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50061;108.0;1360.0;REGIONAAL ZIEKENHUIS HEILIG HART;Louvain;Brabant flamand;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50062;176.0;1800.0;"ALGEMEEN STEDELIJK ZIEKENHUIS
A.V.";Alost;Flandre orientale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50063;409.0;3350.0;CLINIQUE NOTRE-DAME DE GRACE;Gosselies;Hainaut;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50064;109.0;1370.0;"REGIONAAL ZIEKENHUIS HEILIG HART
TIENEN";Tirlemont;Brabant flamand;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50065;109.0;1380.0;"REGIONAAL ZIEKENHUIS HEILIG HART
TIENEN";Aarschot;Brabant flamand;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50066;164.0;3230.0;VIVALIA - IFAC;Marche-en-Famenne;Luxembourg;GE;DISCOVERY VH CT HAWKEYE;Il n'existe pas d'association pour cet appareil
50067;164.0;3230.0;VIVALIA - IFAC;Marche-en-Famenne;Luxembourg;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50068;164.0;3720.0;VIVALIA - IFAC;Bastogne;Luxembourg;GE;GE-INFINIA HAWKEYE GP3;Il n'existe pas d'association pour cet appareil
50069;87.0;1560.0;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Ixelles;Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50070;87.0;1540.0;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Anderlecht;Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
