Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
60001;536.0;2090.0;ALGEMEEN ZIEKENHUIS ST.-JOZEF;Malle;Antwerpen;Siemens;SIEMENS MAGNETOM AERA 1,5T;Uitsluitend klinisch gebruik;Er bestaat geen associatie voor dit toestel
60002;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Siemens;MAGNETOM AERA 1.5T;Utilisation clinique uniquement;Er bestaat geen associatie voor dit toestel
60003;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;Philips;PHILIPS ACHIEVA 3.0T QUASAR DUAL;Uitsluitend klinisch gebruik;Er bestaat geen associatie voor dit toestel
60004;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;Er bestaat geen associatie voor dit toestel
60005;715.0;3650.0;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limburg;Siemens;SIEMENS MAGNETOM AVANTO FIT;Uitsluitend klinisch gebruik;Er bestaat geen associatie voor dit toestel
60006;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;Er bestaat geen associatie voor dit toestel
60007;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;GE;GE-Optima 450W;Utilisation clinique uniquement;Er bestaat geen associatie voor dit toestel
60008;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;Er bestaat geen associatie voor dit toestel
60010;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Uitsluitend klinisch gebruik;Er bestaat geen associatie voor dit toestel
60014;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Luik;Philips;PHILIPS-Achieva 1.5T SE;Utilisation clinique uniquement;Er bestaat geen associatie voor dit toestel
60016;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Luik;Luik;Philips;PHILIPS-Achieva 3.0T TX;Utilisation clinique uniquement;Er bestaat geen associatie voor dit toestel
60017;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Luik;Luik;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Er bestaat geen associatie voor dit toestel
