Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie;Fabrikant;Model;Ziekenhuizen in associatie
50001;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50002;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50003;397.0;1990.0;"O.L.V. VAN LOURDES ZIEKENHUIS
WAREGEM";Waregem;West-Vlaanderen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50004;124.0;1920.0;ST.-JOZEFSKLINIEK;Izegem;West-Vlaanderen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50005;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50006;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50007;49.0;1930.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Oostende;West-Vlaanderen;Siemens;Symbia T;Er bestaat geen associatie voor dit toestel
50008;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50009;158.0;2970.0;CENTRE HOSPITALIER CHRETIEN;Heusy;Luik;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50010;706.0;3340.0;CLINIQUE ST.-LUC;Bouge;Namen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50011;706.0;3340.0;CLINIQUE ST.-LUC;Bouge;Namen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50012;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Luik;Luik;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50013;152.0;2910.0;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Luik;Luik;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50014;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gent;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50015;57.0;2700.0;JAN YPERMAN ZIEKENHUIS;Ieper;West-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50016;43.0;1730.0;CLINIQUE SAINT PIERRE;"Ottignies-Louvain-la
-Neuve";Waals-Brabant;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50017;300.0;4220.0;"UNIVERSITAIR ZIEKENHUIS
ANTWERPEN";Edegem;Antwerpen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50018;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Antwerpen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50019;110.0;1310.0;KLINIEK ST.- JAN;Brussel;Brussel-Hoofdstad;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50021;110.0;1310.0;KLINIEK ST.- JAN;Brussel;Brussel-Hoofdstad;GE;GE-Optima NM/CT 640;Er bestaat geen associatie voor dit toestel
50022;23.0;2860.0;CLINIQUE ANDRE RENARD;Herstal;Luik;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50023;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limburg;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50024;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Henegouwen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50025;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50026;102.0;2080.0;HEILIG HARTZIEKENHUIS V.Z.W.;Mol;Antwerpen;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50027;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Antwerpen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50028;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50029;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50030;534.0;2830.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Doornik;Henegouwen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50031;534.0;2810.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Doornik;Henegouwen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50032;534.0;2810.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Doornik;Henegouwen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50033;714.0;3600.0;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limburg;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
